date,eeg_alpha_power,emg_rms
2022-01-01 00:00:00,20.4783,49.7317
2022-01-01 00:01:00,19.551,45.5137
2022-01-01 00:02:00,18.559,43.6427
2022-01-01 00:03:00,17.2432,44.5004
2022-01-01 00:04:00,18.2483,46.7922
2022-01-01 00:05:00,18.2315,48.0065
2022-01-01 00:06:00,19.2807,45.4451
2022-01-01 00:07:00,23.6242,43.768
2022-01-01 00:08:00,28.419,44.2641
2022-01-01 00:09:00,30.382,42.0735
2022-01-01 00:10:00,30.937,39.429
2022-01-01 00:11:00,32.1422,36.5396
2022-01-01 00:12:00,29.8627,38.8668
2022-01-01 00:13:00,27.0988,39.0011
2022-01-01 00:14:00,26.4876,36.5888
2022-01-01 00:15:00,25.9293,36.3291
2022-01-01 00:16:00,29.0872,35.6714
2022-01-01 00:17:00,29.6732,35.3193
2022-01-01 00:18:00,28.0546,34.9748
2022-01-01 00:19:00,25.4884,35.0488
2022-01-01 00:20:00,24.0104,36.9058
2022-01-01 00:21:00,22.8003,38.5948
2022-01-01 00:22:00,26.027,40.6241
2022-01-01 00:23:00,26.948,41.544
2022-01-01 00:24:00,27.4057,41.5841
2022-01-01 00:25:00,29.0925,40.5258
2022-01-01 00:26:00,29.6617,38.8036
2022-01-01 00:27:00,30.8049,36.8539
2022-01-01 00:28:00,31.9708,37.1119
2022-01-01 00:29:00,33.9437,39.6571
2022-01-01 00:30:00,32.3197,42.0531
2022-01-01 00:31:00,32.7082,44.2948
2022-01-01 00:32:00,32.5052,45.4028
2022-01-01 00:33:00,32.5692,44.5301
2022-01-01 00:34:00,31.7557,46.4548
2022-01-01 00:35:00,34.1523,48.3646
2022-01-01 00:36:00,31.6554,44.4556
2022-01-01 00:37:00,32.6844,41.6232
2022-01-01 00:38:00,31.9268,40.5283
2022-01-01 00:39:00,34.1774,39.7654
2022-01-01 00:40:00,37.5461,36.2796
2022-01-01 00:41:00,41.1769,35.089
2022-01-01 00:42:00,44.6347,34.6515
2022-01-01 00:43:00,50.6058,36.5704
2022-01-01 00:44:00,52.8288,34.3752
2022-01-01 00:45:00,53.035,34.5345
2022-01-01 00:46:00,52.0175,35.2352
2022-01-01 00:47:00,53.1924,35.7543
2022-01-01 00:48:00,51.5882,34.6056
2022-01-01 00:49:00,52.6321,34.389
2022-01-01 00:50:00,52.8104,32.251
2022-01-01 00:51:00,51.1259,31.6782
2022-01-01 00:52:00,48.4135,30.6419
2022-01-01 00:53:00,45.6544,26.5509
2022-01-01 00:54:00,41.6403,25.3437
2022-01-01 00:55:00,40.5459,26.8812
2022-01-01 00:56:00,41.6729,27.1242
2022-01-01 00:57:00,44.2198,28.3105
2022-01-01 00:58:00,44.6981,32.4496
2022-01-01 00:59:00,45.7223,36.5405
2022-01-01 01:00:00,46.5014,35.6744
2022-01-01 01:01:00,48.3786,30.2191
2022-01-01 01:02:00,50.4111,26.4764
2022-01-01 01:03:00,51.8842,23.3331
2022-01-01 01:04:00,49.5336,24.2569
2022-01-01 01:05:00,48.1147,24.7592
2022-01-01 01:06:00,47.6956,22.0633
2022-01-01 01:07:00,46.3625,22.9358
2022-01-01 01:08:00,45.2777,24.8673
2022-01-01 01:09:00,42.4588,24.3681
