date,value
2022-01-01,86.76056983613479
2022-01-02,89.52774012376145
2022-01-03,99.30030475354575
2022-01-04,123.78020180831265
2022-01-05,135.99829954449274
2022-01-06,140.85951470281063
2022-01-07,163.0667975838901
2022-01-08,185.94038406237263
2022-01-09,194.37084331824275
2022-01-10,206.27983939479637
2022-01-11,208.20422472697902
2022-01-12,204.11009888344552
2022-01-13,204.8971706361178
2022-01-14,182.75005075182764
2022-01-15,149.10276483109712
2022-01-16,122.50694292776716
2022-01-17,94.73547634175608
2022-01-18,82.18356438129273
2022-01-19,64.09612829876019
2022-01-20,36.63602223321716
2022-01-21,38.087743820949996
2022-01-22,36.58946116775127
2022-01-23,36.84083003208712
2022-01-24,20.234673116127148
2022-01-25,4.0783862722489745
2022-01-26,-3.944314757559539
2022-01-27,-22.229858304512288
2022-01-28,-28.35280821253587
2022-01-29,-38.894242436375684
2022-01-30,-48.3794279681989
2022-01-31,-60.951018634045596
2022-02-01,-45.92663481944636
2022-02-02,-36.73397122754202
2022-02-03,-43.57090421987022
2022-02-04,-37.462525070028875
2022-02-05,-48.10762137977633
2022-02-06,-51.64831602556775
2022-02-07,-76.9487742995999
2022-02-08,-107.72728185080035
2022-02-09,-123.49205155109114
2022-02-10,-123.74931441132068
2022-02-11,-121.50725275317878
2022-02-12,-121.2097951469525
2022-02-13,-124.3045649302882
2022-02-14,-143.56369068469877
2022-02-15,-163.41729663808158
2022-02-16,-180.51712546162872
2022-02-17,-177.75155604113004
2022-02-18,-171.62879491400926
2022-02-19,-188.77162010208963
2022-02-20,-194.8283075822003
2022-02-21,-202.74330743526247
2022-02-22,-215.27537135077128
2022-02-23,-215.11449423398616
2022-02-24,-202.30597369396372
2022-02-25,-183.10549994055583
2022-02-26,-181.31582596718278
2022-02-27,-183.61257009337353
2022-02-28,-180.6754553922452
2022-03-01,-166.8666450460999
2022-03-02,-163.9914496925562
2022-03-03,-164.15424020039575
2022-03-04,-177.18793419317186
2022-03-05,-199.02263007780553
2022-03-06,-202.03313773985542
2022-03-07,-187.22456199423544
2022-03-08,-178.86353800582748
2022-03-09,-161.46452883807842
2022-03-10,-146.34549103685737
2022-03-11,-144.67550541138624
2022-03-12,-138.99676677000258
2022-03-13,-116.79308478758075
2022-03-14,-103.56078806744708
2022-03-15,-76.5056861655988
2022-03-16,-91.36956627356678
2022-03-17,-90.08506428584488
2022-03-18,-87.92979827435367
2022-03-19,-89.88472687304937
2022-03-20,-89.61655471384074
2022-03-21,-112.96647839352629
2022-03-22,-129.27249525538775
2022-03-23,-134.43075451436366
2022-03-24,-119.45098153285105
2022-03-25,-116.34236036322721
2022-03-26,-123.83911089617119
2022-03-27,-134.018245738952
2022-03-28,-128.8009012321956
2022-03-29,-121.38548121222556
2022-03-30,-122.95335164544798
2022-03-31,-117.39486470802116
2022-04-01,-112.5548419533886
2022-04-02,-97.68708841421439
2022-04-03,-96.8510734172381
2022-04-04,-99.94141017822554
2022-04-05,-106.1609100724039
2022-04-06,-127.11478938649634
2022-04-07,-135.79367365017688
2022-04-08,-137.52834094222655
2022-04-09,-138.1677798377468
2022-04-10,-141.02648877556072
2022-04-11,-159.38616304285404
2022-04-12,-175.1097114764143
2022-04-13,-188.31641473487176
2022-04-14,-205.52776392060562
2022-04-15,-217.45000197203808
2022-04-16,-219.41473452112308
2022-04-17,-197.6193432360477
2022-04-18,-182.10717471102046
2022-04-19,-169.3692689073309
2022-04-20,-162.27987641431122
2022-04-21,-180.71149550208787
2022-04-22,-191.74863346014445
2022-04-23,-197.30815371568613
2022-04-24,-170.74496051918769
2022-04-25,-156.7753761786621
2022-04-26,-144.43505746634338
2022-04-27,-137.10740747541507
2022-04-28,-146.39495393229248
2022-04-29,-137.91360803223867
2022-04-30,-123.4616040999651
2022-05-01,-104.9580183760844
2022-05-02,-104.42851639929283
2022-05-03,-86.93728348198471
2022-05-04,-92.9247564851072
2022-05-05,-89.13495516137745
2022-05-06,-60.23560685741987
2022-05-07,-54.44243377661358
2022-05-08,-57.42210268336307
2022-05-09,-57.67408764636108
2022-05-10,-63.52698647355426
2022-05-11,-85.30668694266376
2022-05-12,-97.21175152645715
2022-05-13,-116.76243484144644
2022-05-14,-122.46973566281781
2022-05-15,-136.5872069664463
2022-05-16,-126.11847688841289
2022-05-17,-128.8962783496277
2022-05-18,-134.0876974208247
2022-05-19,-127.10034225510685
2022-05-20,-137.33830095288363
2022-05-21,-140.41155695630013
2022-05-22,-126.2297975069609
2022-05-23,-136.67054065209211
2022-05-24,-140.37938023678316
2022-05-25,-139.14609045661675
2022-05-26,-128.68424212718915
2022-05-27,-136.91054166006958
2022-05-28,-157.35180073680917
2022-05-29,-163.01325739545013
2022-05-30,-162.5063153118365
2022-05-31,-158.85623585751776
2022-06-01,-152.16880967096282
2022-06-02,-155.97665061797176
2022-06-03,-155.13431082024505
2022-06-04,-150.77203726202487
2022-06-05,-156.38689014340915
2022-06-06,-137.02650773850263
2022-06-07,-119.38428324461731
2022-06-08,-122.75459051471788
2022-06-09,-116.55813157317228
2022-06-10,-124.19643625097277
2022-06-11,-118.99440381274364
2022-06-12,-101.63003740171732
2022-06-13,-100.71960537532203
2022-06-14,-88.272832608553
2022-06-15,-75.51139782525362
2022-06-16,-57.649815035340126
2022-06-17,-23.831349569544635
2022-06-18,-6.144927682101786
2022-06-19,-4.237908521925961
2022-06-20,-13.427870181326739
2022-06-21,-28.391570596552466
2022-06-22,-37.95501135865715
2022-06-23,-39.25925211812025
2022-06-24,-36.38150698183787
2022-06-25,-24.388660911636165
2022-06-26,-16.696930566980253
2022-06-27,5.700516565701099
2022-06-28,16.30310284645443
2022-06-29,55.64668461398186
2022-06-30,87.1008418476784
2022-07-01,96.02744551090092
2022-07-02,88.87269773210107
2022-07-03,90.70951804773942
2022-07-04,89.4700568132122
2022-07-05,97.63438600160097
2022-07-06,108.55183500951676
2022-07-07,114.56835746238377
2022-07-08,108.35674631728313
2022-07-09,86.79161293399235
2022-07-10,68.83435347921363
2022-07-11,68.67678333822808
2022-07-12,71.4913661831992
2022-07-13,58.571250545638
2022-07-14,53.23735227331547
2022-07-15,55.00082186666799
2022-07-16,45.7926143882659
2022-07-17,42.45239117257099
2022-07-18,41.486761864506036
2022-07-19,27.53174070569959
2022-07-20,23.792176334595126
2022-07-21,28.617852028351262
2022-07-22,44.84987236270827
